Abingdon town,36.71,-81.97,
Accomac town,37.72,-75.67,
Adwolf,36.79,-81.59,
Alberta town,36.86,-77.89,
Alexandria city,38.82,-77.09,
Allisonia,36.93,-80.73,
Altavista town,37.12,-79.29,
Amelia Court House,37.34,-77.99,
Amherst town,37.58,-79.05,
Annandale,38.83,-77.2,
Appalachia town,36.91,-82.79,
Apple Mountain Lake,38.92,-78.1,
Appomattox town,37.36,-78.83,
Aquia Harbour,38.46,-77.38,
Arcola,38.94,-77.53,
Arlington,38.88,-77.1,
Arrington,37.67,-78.89,
Ashburn,39.03,-77.47,
Ashland town,37.76,-77.47,
Atkins,36.87,-81.4,
Atlantic,37.9,-75.51,
Augusta Springs,38.11,-79.34,
Bailey's Crossroads,38.85,-77.13,
Baskerville,36.68,-78.27,
Bassett,36.76,-79.99,
Basye,38.82,-78.77,
Bayside,37.75,-75.71,
Bealeton,38.58,-77.78,
Bedford city,37.34,-79.52,
Belle Haven,38.78,-77.06,
Belle Haven town,37.56,-75.83,
Bellwood,37.41,-77.44,
Belmont,39.06,-77.5,
Belmont Estates,38.45,-78.92,
Belspring,37.19,-80.61,
Belview,37.17,-80.51,
Benns Church,36.94,-76.58,
Bensley,37.45,-77.44,
Berryville town,39.15,-77.98,
Bethel Manor,37.1,-76.42,
Big Island,37.54,-79.36,
Big Stone Gap town,36.86,-82.78,
Blacksburg town,37.23,-80.43,
Blackstone town,37.08,-78,
Blairs,36.7,-79.38,
Bland,37.1,-81.12,
Bloxom town,37.83,-75.62,
Blue Ridge,37.38,-79.82,
Blue Ridge Shores,38.11,-78.02,
Bluefield town,37.24,-81.27,
Bobtown,37.65,-75.8,
Bon Air,37.52,-77.57,
Boones Mill town,37.12,-79.95,
Boston,37.6,-75.84,
Boswell's Corner,38.51,-77.37,
Bowling Green town,38.05,-77.35,
Boyce town,39.09,-78.06,
Boydton town,36.67,-78.39,
Boykins town,36.58,-77.2,
Bracey,36.58,-78.11,
Brambleton,38.98,-77.53,
Branchville town,36.57,-77.25,
Brandermill,37.43,-77.65,
Bridgewater town,38.39,-78.97,
Brightwood,38.41,-78.19,
Bristol city,36.62,-82.16,
